ticker,sector,mer,fum, one_month_return 
BBAB,Fixed Income - Australia Dollar,0.99,1.39, n/a 
HBRD,Fixed Income - Australia Dollar,0.55,"2,161.64", 0.43 
HCRD,Fixed Income - Australia Dollar,0.29,14.53, 0.83 
IAF,Fixed Income - Australia Dollar,0.1,"2,285.20",-0.03 
ICOR,Fixed Income - Australia Dollar,0.15,149.52, 0.53 
ILB,Fixed Income - Australia Dollar,0.18,619.08,-1.14 
IGB,Fixed Income - Australia Dollar,0.18,405,-0.04 
IYLD,Fixed Income - Australia Dollar,0.12,29.33, 0.56 
OZBD,Fixed Income - Australia Dollar,0.19,324.74,-0.21 
PLUS,Fixed Income - Australia Dollar,0.32,297.46, 0.55 
QPON,Fixed Income - Australia Dollar,0.22,"1,226.52", 0.51 
RGB,Fixed Income - Australia Dollar,0.24,168.37,-0.16 
RSM,Fixed Income - Australia Dollar,0.26,54.29, 0.31 
RCB,Fixed Income - Australia Dollar,0.28,263.9, 0.25 
SUBD,Fixed Income - Australia Dollar,0.29,"1,210.86", 0.28 
VACF,Fixed Income - Australia Dollar,0.2,661.89, 0.24 
VAF,Fixed Income - Australia Dollar,0.1,"1,884.62", 0.02 
VGB,Fixed Income - Australia Dollar,0.2,"1,010.39", 0.06 
AESG,Fixed Income - Global,0.19,100.7,-0.72 
BBFD,Fixed Income - Global,0.99,1.03, 5.53 
DHOF,Fixed Income - Global,0.75,42.81, -   
EBND,Fixed Income - Global,0.95,144.97, 1.04 
GOOD,Fixed Income - Global,0.5,0.5, -   
IHCB,Fixed Income - Global,0.26,303.96,-0.43 
IHHY,Fixed Income - Global,0.56,110.92, 0.10 
IHEB,Fixed Income - Global,0.51,86.17,-1.58 
IUSG,Fixed Income - Global,0.15,2.58,-1.11 
GBND,Fixed Income - Global,0.49,335.6,-0.76 
GCAP,Fixed Income - Global,0.59,30.99, 0.35 
GGOV,Fixed Income - Global,0.22,177.98,-3.65 
GGFD,Fixed Income - Global,0.99,0.53,-4.18 
MQDB,Fixed Income - Global,0.614,2.09,-0.71 
MQIO,Fixed Income - Global,0.492,1.7, 0.10 
SKUK,Fixed Income - Global,1.33,5.17, 1.00 
TBIL,Fixed Income - Global,0.22,83.79, 4.61 
US10,Fixed Income - Global,0.22,10.32,-1.04 
USIG,Fixed Income - Global,0.3,6.41,-0.80 
USHY,Fixed Income - Global,0.3,12.96,-1.05 
USTB,Fixed Income - Global,0.19,700.11,-0.95 
UTIP,Fixed Income - Global,0.22,98.75,-0.41 
VBND,Fixed Income - Global,0.2,"1,207.61",-0.96 
VCF,Fixed Income - Global,0.3,152.08,-0.56 
VEFI,Fixed Income - Global,0.26,67.5,-0.68 
VIF,Fixed Income - Global,0.2,741.92,-0.95 
XARO,Fixed Income - Global,0.5,616.27, 0.03 
AAA,Cash,0.18,"3,479.74", 0.37 
BILL,Cash,0.07,728.61, 0.39 
ISEC,Cash,0.12,264.3, 0.41 
MMKT,Cash,0.18,80.34, 0.40 
DBBF,Mixed Asset,0.39,25.38, 2.30 
DGGF,Mixed Asset,0.39,41.65, 3.93 
DHHF,Mixed Asset,0.19,330.8, 3.73 
DZZF,Mixed Asset,0.39,72.31, 5.24 
GROW,Mixed Asset,0.83,53.82, 0.35 
IBAL,Mixed Asset,0.22,2.74, 2.52 
IGRO,Mixed Asset,0.22,7.07, 3.78 
VDCO,Mixed Asset,0.27,206.68, 0.48 
VDBA,Mixed Asset,0.27,614.6, 1.17 
VDGR,Mixed Asset,0.27,770.85, 1.77 
VDHG,Mixed Asset,0.27,"2,190.95", 2.53 
AUDS,Currency,1.38,30.87,-8.96 
USD,Currency,0.45,97.41, 4.61 
YANK,Currency,1.38,6.91, 10.95 
BCOM,Commodity ,0.6,30.85, 3.47 
GLDN,Commodity ,0.18,23.71, 2.32 
ETPMPM,Commodity ,0.44,50.63,-2.22 
ETPMPT,Commodity ,0.49,18.09,-4.85 
ETPMAG,Commodity ,0.49,247.63, 0.80 
ETPMPD,Commodity ,0.49,3.53,-10.25 
GCO2,Commodity ,0.45,1.16,-9.92 
GOLD,Commodity ,0.4,"2,735.22", 2.29 
NUGG,Commodity ,0.25,40.66, 2.59 
OOO,Commodity ,1.29,140.11, 7.63 
PMGOLD,Commodity ,0.15,768.86, 2.22 
QAU,Commodity ,0.59,498.93,-1.73 
XCO2,Commodity ,0.45,4.81,-13.51 
XJOAI,Australian Indices,n/a, n/a , 1.19 
XSOAI,Australian Indices,n/a, n/a , 0.90 
XPJAI,Australian Indices,n/a, n/a , 1.31 
XIFAI,Australian Indices,n/a, n/a ,-1.79 
SPBDASXT,Australian Indices,n/a, n/a , -   
SPBDAGVT,Australian Indices,n/a, n/a , -   
